occupation,occupation_aliases
fish and seafood specialised seller,fish stall specialised seller|fish stall salesperson|fresh seafood salesperson|fishmongers shop specialised seller|fisheries shop salesperson|seafood specialised seller|fresh fish shop salesperson|fish market salesperson|fresh fish specialised seller|fisheries specialised seller|fish specialised seller|fish market specialised seller|fresh fish salesperson|fish and seafood specialized seller|fisheries salesperson|fisheries shop specialised seller|seafood salesperson|fresh fish counter specialised seller|fish salesperson|fresh seafood specialised seller
oil and gas production manager,oil production project manager|gas production scheduler|gas operations manager|gas field production manager|gas production manager|oil and gas operations manager|oil and gas production project manager|oil and gas production scheduler|oilfield production manager|oil production manager|oil production scheduler|oil field production manager|gas production project manager|oil operations manager|gasfield production manager
metallurgical technician,metallurgist|mining technician|minerals technician|metallurgy test technician|metallurgical research technician|metallurgical quality technician|metallurgical test technician|metallurgy research technician|metallurgy technician|extraction technician|development metallurgist|metallurgy quality technician|laboratory metallurgist
spinning textile operator,spinning process operator|textile spinner|spinning and winding supervisor|spinning textile technician|textile technician for spinning|spinning supervisor|spinning mill manager|spinner technician|textile spinning technician
resilient floor layer,laminate floor installer|resilient flooring installer|linoleum installer|resilient floor installer|floor layer (resilient)|linoleum layer|vinyl floor installer|layer of resilient floor|vinyl tile installer
textile quality technician,textile testing technician|textile quality laboratory analyst|physical testing laboratory technician|textile laboratory technician
curing room worker,tobacco curer|tobacco curing room worker|tobacco dryer|tobacco drier|tobacco roaster|tobacco drying machine operator|tobacco drying worker|curing room attendant|tobacco drier operator|curing room assistant|tobacco drying machine tender|curing room operative
enameller,jewelery artist|enamel machine apprentice|coating and dipping operator|silver enameller|engineering dipper|coating and enamelling operator|enamel dipping machine operator|platinum enameller|enameler|enamel dipper|dipping machine technician|dipping machine apprentice|enamel machine operator|cast metal enameller|metal enameller|enamel machine technician|enamel dipper operator|copper enameller|gold enameller|dipper
recruitment consultant,job placement officer|temporary labour officer|employment agent|employee recruiter|job placement consultant|temporary labour agent|recruiting process consultant|head hunter|recruitment officer
actuarial consultant,insurance actuaries|health actuaries|actuarial mathematician|actuarial adviser|actuarial clerks|actuarial analyst|actuarial clerk|insurance actuary|actuaries|actuarial mathematicians|actuarial advisor|consulting actuaries|actuarial analysts|actuarial advisors|consulting actuary|health actuary|actuary
performance lighting designer,lighting designer and technician|lighting technician and designer|theatre lighting designer|lighting designer & technician|lighting technician & designer|lighting designer|performance lighting creator
dance répétiteur,dance rehearsal director|assistant choreographer and repetiteur|assistant choreographer and répétiteur|assistant choreographer|dance tutor
automotive battery technician,dry cell tester|installer of automotive batteries|bus battery technician|battery installer|automobile battery technician|technician of automotive batteries|automotive battery assembler|motor vehicle battery technician|automobile battery installer|car battery installer|automotive battery repairer|vehicle battery technician|dry cell battery technician|truck battery technician|automotive battery tester|dry cell repairer|automotive repair technician|dry cell installer|motor vehicle battery installer|lorry battery technician|coach battery technician|car battery technician|automotive battery installer
footwear designer,footwear technologist|footwear designer and developer|shoe stylist|men's footwear designer|women's footwear designer|footwear designer & developer|footwear fashion designer|footwear cad designer|children's footwear designer|footwear cad technical designer|footwear stylist|fashion footwear designer|shoe designer|sports footwear designer
public employment service manager,careers advice manager|dwp manager|jobcentre manager|job centre manager|national careers service manager|jobcentre plus manager|employment service manager|department of work and pensions manager
clothing product grader,pattern developer/grader|apparel grader|fabric pattern grader|clothing patternmaker|clothing product tester
public administration manager,chief of staff|government department manager|public institution director|public service administrator|public administration director|city administrator|public administrator|public body administrator|local authority officer|district council manager|public body manager|public service director|civil service administrator|county council manager
credit analyst,credit clerk|analyst of credits
plumbing supervisor,foreman plumber|supervisor of plumbing|supervising plumber|commercial plumbing supervisor|pipework supervisor|plumbing foreman|domestic plumbing supervisor
securities analyst,securities research analyst|corporate securities research analyst|bonds analyst|stock analyst|securities research director|rating analyst|shares analyst
dancer,dance performer|commercial dancer|belly dancer|modern & ballet dancer|dancer and singer|contemporary dancer|soloist dancer|group dancer|ballet dancer|dancer & singer|modern dancer|solo dancer|modern & ballet dance performer|modern and ballet dancer|stage dancer|ballet & modern dance performer|modern and ballet dance performer|ballet and modern dancer|ballet & modern dancer|singer-dancer|singer and dancer|dance artist|ballet and modern dance perfomer|show dancer|jazz dancer|singer & dancer
bespoke footwear technician,custom shoemaker|customized shoe maker|customised shoe maker|customized footwear technician|custom made footwear technician
judge,adjudicator|recorder|investigating magistrate|inquisitorial magistrate|appeal court judge|high court judge|district judge|examining magistrate|circuit judge|youth court judge|family court judge|deputy circuit judge
puppet designer,puppet maker|puppet designer & maker|puppet builder|puppet designer and maker|puppet designer & builder|puppet designer/maker|puppet designer and builder|puppet creator
flexographic press operator,flexographic print technician|flexographic printing inspection specialist|flexographic pressman|wide-format printer on flexographic presses|flexographic printing plate mounter|flexographic printing inspection technician|flexographic print operator|flexographic label printer|flexographic label press operator|flexographic print maker|flexographic operator|flexographic label press technician|flexographic printing press operator|flexographic printing inspection operator|flexographic press specialist|flexographic printer|flexographic label press specialist|flexographic printing plate maker|narrow-format printer on flexographic presses|flexographic presswoman
dependability engineer,reliability engineer|ram engineer|maintenance and reliability engineer|dependability and security engineer|rams engineer
integration engineer,it integration engineer|ict integration engineers|system integration engineer|software integration engineer
weather forecaster,meteorology scientist|meteorology researcher|meteorology analyst|meteorology research analyst|meteorology science researcher|operational weather forecaster|weather anchor|senior weather forecaster|numerical weather forecaster|on-line weather forecaster|media weather forecaster|weather presenter|weather forecasters|weather forecast anchor|weather forecast presenter
street artist,urban artist|graffiti artist|street visual artist|muralist|street caricaturist|stencil artist|paste-up street artist|pictorial muralist|light street artist
spa manager,manager of spa|spa director|wellness manager|spa managers|spa and wellness manager
professional athlete,cyclist|handball player|skater|race car driver|discus athlete|middle distance athlete|track and field athlete|sports player|long distance athlete|high jump athlete|basketball player|rugby player|sportswoman|hockey player|professional rugby player|professional surfer athlete|wrestler|aviation sport athlete|professional volleyball player|professional baseball player|professional sports player|roller skater|olympic athlete|golf player|horse rider|snowboarder|sportsman|motorcycle driver|professional basketball player|pole vault athlete|long distance runner|tennis player|javelin athlete|snow sports athlete|volleyball player|athlete|professional hockey player|bull fighter|long jump athlete|middle distance runner|skier|professional soccer player|professional football player|professional handball player|boxer|football player
specialised veterinarian,zoological medicine veterinarian|emergency medicine veterinarian|poultry veterinary scientist|sports medicine and rehabilitation veterinarian|diagnostic imaging veterinarian|wildlife health management veterinarian|veterinary comparative nutritionist|veterinary dentist|herpetological medicine veterinarian|veterinary parasitologist|specialized vet|equine internal medicine veterinarian|veterinary pharmacologist and toxicologist|small ruminant health management veterinarian|specialized vets|veterinary pathologist|veterinary dermatologist|small mammal medicine veterinarian|veterinary neurologist|companion animal internal medicine veterinarian|veterinary oncologist|veterinary microbiologist|veterinary anaesthetist|specialized veterinarian|aquatic animal health veterinarian|animal behavioural medicine veterinarian|veterinary cardiologist|bovine health management veterinarian|veterinary ophthalmologist|veterinary clinical pathologist|laboratory animal veterinarian|veterinary theriogenologist|porcine health management veterinarian
automated fly bar operator,theatre automated rigging operator|lead automation operator|automation programmer and operator|automation operator and programmer|automated fly bar technician|stage automation operator|automation programmer & operator|automation operator & programmer
commissioning technician,senior commissioning technician
branch manager,regional director|regional manager|international business manager|branch office administrator|subsidiary manager|branch chief|branch supervisor|recruitment agency manager|area office manager|regional administrative manager
search engine optimisation expert,search engine optimisation experts|search engine optimization expert|search engine optimisation specialist|search engine optimiser|seo expert|seo specialist|inbound marketer|growth hacker|search engine marketing specialist|search engine optimisation consultant|seo experts
water network operative,water and sewerage operative|water supply network worker|water network worker|water network maintenance technician|water supply network operator|water network technician|water network operator|water leakage technician|water supply network operative|water network repair technician|leakage operative|pumping station operative|pumping station worker|pumping station operator
