occupation,occupation_aliases
"import export manager in fish, crustaceans and molluscs","assistant import export manager in fish, crustaceans and molluscs|assistant export manager in fish, crustaceans and molluscs|assistant import manager in fish, crustaceans and molluscs|graduate import export manager in fish, crustaceans and molluscs|customs compliance manager in fish, crustaceans and molluscs|international trade compliance manager in fish, crustaceans and molluscs|graduate import manager in fish, crustaceans and molluscs|import export manager in fish, crustaceans and mollusks|graduate export manager in fish, crustaceans and molluscs|international trade manager in fish, crustaceans and molluscs"
control panel tester,electric control panel inspector and tester|panels tester|control panel inspector|electro-mechanical test technician|panel wireman|electrical inspection and test technician|controls tester|electrical control panel test technician|control panel testing technology expert|tester of electrical control panels|electric control panel fault-finder|electric control panel tester and repairer|electric control panel repairer|control panel test technician|control panel testing technology specialist|electric control panel tester|electrical test technician|control panel testing technician|tester of control panels|control panel testing technologist|control panel inspection technician|electrical control panel tester|technician expert in electrical control panels|panel tester|control tester|inspector of control panels|panel builder
energy engineer,energies engineer|energy technology engineering specialist|energy technology engineering expert|power engineer|energy technology engineering consultant|energy engineering specialist|energy engineering consultant|energy technology engineer|energy engineering researcher|energy technology engineering adviser|energy engineering expert|energy efficiency engineer|energy engineering adviser
insulation worker,lagger|insulation installation worker|energy saving materials installer|insulator|cavity insulation installer|loft insulation installer
back office specialist,back office administrator|back office clerk|back office officer|financial office specialist
nuclear reactor operator,nuclear reactor operation technician|nuclear reactor safety supervisor|nuclear reactor operative|nuclear reactor control panel worker|nuclear reactor controller|nuclear reactor technician|nuclear plant monitoring technician|nuclear reactor control panel monitor|nuclear reactor worker|nuclear plant safety technician
glass artist,stained glass creator|stained glass restorer|stained glass designer and maker|stained glass artist & restorer|stained glass artist|stained glass artist & conservator|stained glass window maker|stained glass artist and restorer|stained glass conservator|stained glass artist and conservator|stained glass glazier|stained glass designer & maker
tennis coach,tennis teacher|tennis instructor|mini tennis coach|head tennis coach|tennis trainer|cardio tennis coach|performance tennis coach
mechanical engineering technician,engineering test supervisor|engineering technical manager|engineering technical apprentice|mechanical engineering system inspector|mechanical engineering technical operator|mechanical engineering inspector
rustproofer,rust proof machine operator|rust stripping operative|paint prepping operative|rust proof machine operative|rust stripper|rustproof machine operative|rust-proofing worker|rustproofing worker|rustproof machine operator|paint prepper|rust removing operative|sandblast operator
aircraft engine tester,aeroplane engine inspection engineer|engine inspection technician|aeroplane engine tester|engine tester|plane engine tester|aeroplane engine inspection technician|engine inspection engineer|airplane engine tester|rotary aircraft engine tester|light aircraft engine tester|jet aircraft engine tester|civilian aircraft engine tester|helicopter engine tester|military aircraft engine tester|piston aircraft engine tester
mobile devices technician,cell phone devices technician|mobile equipment technician|mobile hardware technician|mobile technician|mobile devices technicians|mobile hardware maintainer|mobile equipment engineer
mine ventilation engineer,ventilation system coordinator|ventilation officer
hazardous materials inspector,compliance manager|industrial waste analyst|hazardous waste disposal specialist|solid waste compliance specialist|hazardous waste inspector|hazardous waste compliance specialist|hazardous waste management specialist|hazardous waste control specialist|environmental compliance specialist|hazmat compliance specialist|environmental regulations compliance specialist|waste disposal adviser
railway station manager,station master|station director|manager of railway station|head of station
flight instructor,pilot trainer|flying instructor|occupational flight instructor|flight simulation instructor|practitioner of flight instruction|aviation instructor|instructor in flight|pilot instructor|flight instruction practitioner|flying trainer
costume maker,costume builder|costume and prop maker|costumer|costume & prop maker|set costumer|prop and costume maker|costume prop maker|prop costume maker|prop & costume maker
carpet weaver,carpet maker|rug weaver|carpet weavers|carpet-weaving machine operator|rug maker|carpet-tufting machine operator
credit risk analyst,financial risk manager|credit risk surveyor|credit risk controller|credit risk technician|financial risk technician|credit risk consultant|trainee credit risk specialist|credit risk manager|financial risk analyst|financial risk specialist|graduate credit risk specialist|assistant credit risk specialist|senior credit risk specialist|financial risk surveyor
tax policy analyst,tax analyst|pecunary consultant|tax research analyst|fiscal policy analyst|contributions advisor|fiscal analyst|tax policy adviser|fiscal and policy analyst|tax policy advisor
healthcare specialist lecturer,nursing specialist instructor|orthopaedics instructor|lecturer in specialized healthcare|embryology professor|paediatrics docent|healthcare specialist instructor|dietetics teacher|orthopaedics lecturer|embryology teacher|specialist lecturer in healthcare science|pathology instructor|lecturer of specialized healthcare|paediatrics teacher|geriatrics docent|orthopaedics teacher|healthcare specialist professor|healthcare lector|paediatrics lecturer|pedagogy lecturer|pathology professor|nursing specialist docent|dietetics docent|dietetics professor|oncology lecturer|lecturer of specialised healthcare|healthcare specialist teacher|healthcare specialist docent|geriatrics instructor|healthcare specialist lector|pathology lecturer|embryology instructor|pathology teacher|nursing specialist teacher|specialist nursing lecturer|geriatrics professor|geriatrics lecturer|dietetics lecturer|dietetics instructor|paediatrics professor|embryology docent|university healthcare science lecturer|lecturer in specialist healthcare science|orthopaedics docent|nursing specialist professor|orthopaedics professor|nursing specialist lecturer|university lecturer in healthcare science|lecturer in specialised healthcare|paediatrics instructor|embryology lecturer|geriatrics teacher|pathology docent
facilities manager,facilities coordinator|facilities superintendent|building cleaning and maintenance manager|facilities administrator|facilities maintenance manager|facility maintenance technician|building maintenance manager
title closer,escrow officer|real estate closer|closer|closer of titles|closing coordinator|title processor|closing agent|escrow closer
food grader,food product grader
court enforcement officer,court usher|bailiff|enforcement agent|court administrator|court bailiff|debt collector|tribunals officer|jury bailiff|court adminstrative officer|her majesty's court bailiff|warrant server
tourist guide,museum guide|palace guide|city guide|castle guide|guide|tour guide
office equipment repair technician,office facility repair inspector|electronic service technician|office facilities inspector|office equipment service inspector|office facilities manager|office machines technician|copier repair technician|office service inspector|office facilities tecnhician|it repair inspector|office service technician|it repair technician|office equipment inspector|office equipment repairer|office equipment service technician
import export manager in live animals,graduate import export manager in live animals|assistant import manager in live animals|senior import manager in live animals|graduate import manager in live animals|assistant export manager in live animals|international trade manager in live animals|trainee import export manager in live animals|customs compliance manager in live animals|assistant import export manager in live animals|trainee export manager in live animals|senior export manager in live animals|international trade compliance manager in live animals|senior import export manager in live animals|trainee import manager in live animals|graduate export manager in live animals
food service worker,catering worker|kitchen assistant|airline food kitchen worker|airline catering assistant|airline catering worker|food services worker|food production assistant|airline food preparer
roofer,asphalt roofer|house roofer|felt roofer|tinsmith|roof slater|roofing carpenter|roof tiler|cladding installer
rubber technologist,rubber technician|rubber material technologist|rubber technology scientist|rubber technology analyst|rubber technology expert
motion picture film developer,film lab expert|motion pictures film developer|motion picture film specialist|film lab technician|film lab developer|film laboratory specialist|motion picture film technologist|film developer|film lab technologist|motion picture film expert|film laboratory technologist|motion picture films developer|motion picture film technician|film lab specialist|motion picture developer|film laboratory technician|film laboratory developer|film laboratory expert
pile driving hammer operator,pile-driver operative|piling equipment operative|piling equipment operator|pile driving hamer operator|pile drivin' hammer operator|pile-driver operator|pile driving hammer operative|piling operative|piledriver|pile hammer operator
cattle breeder,cattle specialist|cattle rearer
motor vehicle engine tester,diesel engine tester|electric engine tester|engine inspection technician|engine tester|engine inspection engineer|lorry engine tester|truck engine tester|coach engine tester|petrol engine inspection technician|electric engine inspection technician|truck engine inspection technician|bus engine inspection technician|car engine tester|car engine inspection technician|petrol engine tester|vehicle engine inspection technician|gas engine inspection technician|hybrid engine tester|gas engine tester|hybrid engine inspection technician|bus engine tester|diesel engine inspection technician
"import export specialist in machinery, industrial equipment, ships and aircraft","graduate export specialist in machinery, industrial equipment, ships and aircraft|senior export specialist in machinery, industrial equipment, ships and aircraft|international trade compliance specialist in machinery, industrial equipment, ships and aircraft|assistant import specialist in machinery, industrial equipment, ships and aircraft|graduate import export specialist in machinery, industrial equipment, ships and aircraft|trainee export specialist in machinery, industrial equipment, ships and aircraft|trainee import specialist in machinery, industrial equipment, ships and aircraft|trainee import export specialist in machinery, industrial equipment, ships and aircraft|senior import export specialist in machinery, industrial equipment, ships and aircraft|senior import specialist in machinery, industrial equipment, ships and aircraft|assistant import export specialist in machinery, industrial equipment, ships and aircraft|assistant export specialist in machinery, industrial equipment, ships and aircraft|graduate import specialist in machinery, industrial equipment, ships and aircraft|customs compliance specialist in machinery, industrial equipment, ships and aircraft"
advertising media planner,media coordinator|media manager|junior media planner|media planner|digital media planner|senior media planner|media planning expert|media planning strategist|media planning executive|media planner/buyer|media planning manager
membranophone musical instruments maker,kazoo maker|membranophone musical instrument craftswoman|tubular drum maker|membranophone musical instrument constructor|swazzle maker|membranophone musical instruments builder|membranophone musical instrument craftsman|frame drum maker|membranophone musical instrument production worker|kettle drum maker|drum maker|friction drum maker|mirliton maker|membranophone musical instrument assembler
first aid instructor,educator in first aid|trainer in first aid|instructor in first aid techniques|instructor in first aid|first aid educator|first aid trainer|instructor in first aid principles
stevedore,longshoreman|dock worker|ship freight handler|dock labourer
surface mine plant operator,surface miner equipment operator|aggregate driver|surface mining heavy equipment driver|quarry plant operator|surface miner (heavy equipment)|quarry earth moving equipment operative|tipper driver
immunologist,immunology analyst|immunology researcher|immunology studies research analyst|immunology research analyst|immunology studies researcher|immunology studies scientist|immunology scientist|immunology studies scholar|immunologists|immunology science researcher|immunology studies analyst|immunology studies research scientist|immunology research scientist|immunology scholar
environmental policy officer,policy officer|environmental officer|environmental policy researcher|principal environmental policy officer|senior environmental policy officer|environmental policy analyst|environmental policy advisor|environmental projects and policy officer|environmental policy consultant
tour operator representative,holiday rep|holiday representative|tour representative|tour rep
avionics inspector,aviation maintenance inspector|avionics repair inspector|avionics test inspector|avionics diagnostic inspector|flight safety inspector|avionics systems inspector|aviation test inspector|aviation installation inspector|avionics safety inspector|avionics maintenance inspector|aviation safety inspector|aviation repair inspector|aviation diagnostic inspector|aviation systems inspector|avionics installation inspector
process engineer,battery materials process engineer|process technology engineering expert|slitting process engineer|industrial quality engineer|manufacturing systems engineer|process engineering specialist|process technology engineering adviser|process engineering consultant|recycling process engineer|battery integration process engineer|process technology engineering consultant|processes engineer|calendering process engineer|process technology engineering specialist|process technology engineer|battery dismantling process engineer|cell assembly process engineer|processing engineer|process engineering adviser|process engineering expert|formation and ageing process engineer|cell production process engineer|mixing and coating process engineer|battery process engineer
motorcycle delivery person,home delivery motorcycle driver|telephone directory motorcycle deliverer|motorcyle courier|motorcycle driver of deliveries|sameday delivery motorcycle driver|timed delivery motorcycle driver|express delivery motorcycle driver
wood factory manager,natural wood factory manager|wood factory coordinator|wood factory executive|solid wood factory manager|furniture factory manager|wood factory supervisor|wood factory administrator|wood factory overseer|wood factory controller|wood manager|timber factory manager|solid wood factory supervisor|solid wood factory controller|natural wood factory controller|natural wood factory supervisor
law lecturer,specialist law lecturer|lecturer in law|university lecturer in law|law docent|lecturer of law|law lector|university law teacher|law instructor|university law lecturer|higher education law teacher|senior lecturer in law|professor of law|law teacher|university law instructor|law professor
broadcast news editor,radio reporter|television news director|tv news director|digital news editor|night news editor|international news director|news editor|tv news editor|radio news editor|news director|radio editor|television news editor|radio journalist
craft shop manager,craft counter manager|craft department manager|sewing shop manager|weaving shop manager|pottery shop manager|craft supermarket manager|paint shop manager|hobby shop manager|craft superstore manager|craft concession manager|artists materials shop manager
tobacco specialised seller,purveyor of tobacco and tobacco products|cigarette specialised seller|cigar and cigarette salesperson|cigar and cigarette specialised seller|tobacco salesperson|cigar specialised seller|cigar salesperson|tobacconists salesperson|cigarette salesperson|tobacco specialized seller|tobacconists specialised seller|tobacconist salesperson|tobacconist specialised seller
bank treasurer,cfo|chief financial officer|treasury clerk|deputy bank treasurer|financial institution treasurer|senior treasury analyst
milk heat treatment process operator,milk processing operative|milk treatment operator|milk treatment operative|milk processing operator
brick and tile caster,castables operative|brick caster|brick and tile making machine operator|brick and tile-making machine operator|caster (brick and tile)|auger-press operator|pug mill operator|castables worker|tile caster|brick and tile-making machine operative|brick and tile making machine operative
early years special educational needs teacher,early years sen teacher|nursery special educational needs teacher|teacher in early years sen|teacher in early years special educational needs|early years teacher in special educational needs|early childhood special educational needs teacher|early years special needs teacher
circus arts teacher,teacher of circus arts|circus arts instructor|circus arts trainer|circus arts teaching practitioner|trainer in circus arts|circus teacher|instructor of circus arts|circus arts educator
technical sales representative in machinery and industrial equipment,plant machinery sales representative|graduate technical sales engineer in machinery and industrial equipment|trainee technical sales engineer in machinery and industrial equipment|senior technical sales representative in machinery and industrial equipment|technical salespeople in machinery and industrial equipment|technical salesman in industrial equipment|mechanical equipment sales representative|machinery and industrial equipment salesperson|technical saleswoman in industrial equipment|technical saleswoman in machinery and industrial equipment|senior technical sales engineer in machinery and industrial equipment|technical salesman in machinery and industrial equipment|trainee technical sales representative in machinery and industrial equipment|graduate technical sales representative in machinery and industrial equipment|machinery sales representative|technical salesman in machinery|technical salespeople in industrial equipment|technical salesperson in machinery|technical salesperson in machinery and industrial equipment|technical salespeople in machinery|assistant technical sales representative in machinery and industrial equipment|assistant technical sales engineer in machinery and industrial equipment|technical salesperson in industrial equipment|technical saleswoman in machinery
epidemiologist,epidemiology science researcher|epidemiology researcher|epidemiology research analyst|epidemiology analyst|epidemiology research scientist|epidaemiologist|epidemiology scholar|epidemiology scientist
social work supervisor,social services team manager|social work programme manager|social work programme supervisor|social work team manager|senior social worker|social work manager|social work team leader|social services coordinator|social work team supervisor
perfume and cosmetics distribution manager,perfume and cosmetics supply chain planner|assistant perfume and cosmetics distribution manager|perfume and cosmetics logistics planner|senior perfume and cosmetics distribution manager|graduate perfume and cosmetics distribution manager|perfume and cosmetics supply chain manager|perfume and cosmetics distribution planner|perfume and cosmetics logistics manager|trainee perfume and cosmetics distribution manager
youth worker,senior youth worker|youth project team worker|youth support worker|youth centre worker|social worker youth justice|youth and community worker|welfare advisor|youth mentor|youth guidance worker|youth project team leader|youth advocate|youth advisor|youth programmes social worker|youth social worker|youth employment advisor|juvenile care worker
business developer,business development strategist|business development executive|business continuity analyst
supermarket manager,outlet centre manager|graduate trainee supermarket manager|assistant supermarket manager|food supermarket manager|hypermarket manager|graduate supermarket manager|senior supermarket manager|supermarket general store manager|discount supermarket manager|grocery shop manager|general merchandise manager|trainee supermarket manager|concession store manager
"import export specialist in fish, crustaceans and molluscs","graduate export specialist in fish, crustaceans and molluscs|customs compliance specialist in fish, crustaceans and molluscs|international trade compliance specialist in fish, crustaceans and molluscs|graduate import export specialist in fish, crustaceans and molluscs|assistant export specialist in fish, crustaceans and molluscs|assistant import export specialist in fish, crustaceans and molluscs|graduate import specialist in fish, crustaceans and molluscs|import export specialist in fish, crustaceans and mollusks|assistant import specialist in fish, crustaceans and molluscs"
seismologist,seismologists|seismology research analyst|seismology analyst|seismology researcher|seismology scientist|seismology science researcher|seismology scholar|seismology research scientist
computer hardware repair technician,computer repairman|computer hardware repairer|computer expert|computer technical support agent|computer technician|computer service and repair technician|computer service agent|computer hardware repairman|computer repairer
biomedical scientist advanced,advanced biomedical doctor|advanced biomedical researcher|advanced practitioner in biomedical science|advanced medical laboratory scientist|expert scientist in biomedicine|advanced analyst in biomedical science|advanced medical scientist|advanced clinical laboratory scientist|advanced researcher in biomedical science
customer contact centre information clerk,customer information center assistant|client services clerk|customer helpdesk clerk|customer contact center information clerk|customer representative|customer contact clerk|customer service clerk|customer relations representative|customer support officer
investment analyst,portfolio analyst|investment accounting analyst|investment banking analyst|investment banking business analyst|investment compliance analyst|investment officer|investment operations analyst|oil and gas investment banking analyst|investment specialist
foreign exchange cashier,foreign exchange clerk|bank foreign exchange office clerk|foreign exchange teller|bank foreign exchange cashier|money exchanger|foreign exchange office clerk|forex cashier
firefighter instructor,firefighter trainer|instructor of firefighters|instructor in fire academy|fire academy trainer|fire instructor|educator of firefighters|trainer of firefighters|trainer in fire academy|firefighter teaching practitioner|fire academy instructor
colonel,wing commander|battalion commander|lieutenant colonel
arboriculturist,arborist|arboretum worker|arboriculture specialist|tree climber|climber|arboriculturists|tree doctor
columnist,commentator|political columnist|gossip columnist|editorial opinion columnist|humor columnist|food columnist|advice columnist|senior columnist|magazine journalist
tramways technician,aerial cable lineman|tramways electrical technician|transit maintenance technician|lift station maintenance technician|aerial technician
import export manager,senior customs compliance manager|senior import export manager|graduate export manager|senior international trade compliance manager|senior export manager|trainee international trade manager|senior international trade manager|graduate international trade manager|trainee international trade compliance manager|senior import manager|assistant import manager|trainee customs compliance manager|assistant customs compliance manager|graduate import export manager|graduate import manager|assistant import export manager|graduate international trade compliance manager|assistant export manager|assistant international trade manager|graduate customs compliance manager|trainee export manager|trainee import export manager|trainee import manager|assistant international trade compliance manager
spokesperson,public relations coordinator|communications officer|press secretary|media coordinator|public relations officer|spokeswoman|spokesman|company spokesperson|media relations specialist
casino pit boss,gaming floor manager|casino dealer & pit boss|gaming supervisor|gaming floor supervisor|casino dealer and pit boss|pit boss|gaming floor boss|casino pit boss and dealer|casino pit boss & dealer|pit manager|electronic gaming supervisor
civil enforcement officer,civil enforcement supervisor|civil enforcement agent|parking attendant|traffic warden|parking manager
automotive brake technician,automotive braking systems technician|truck brake technician|lorry brake technician|brake technician|car brake technician|automotive braking systems repair technician|automotive braking systems diagnostic technician|suspension technician
animal feed operator,feed mill worker|animal feeder|feeder|feed worker|feed mill operator|animal feed worker
property acquisitions manager,land acquisition coordinator|property transactions supervisor|property acquisitions area manager|land acquisition specialist|real estate acquisitions manager|property acquisition manager|land acquisition manager|director of property acquisition services|porperty acquisitions manager|real estate acquisitions specialist
material stress analyst,structural engineer|materials stress analyst material analyst|stress analyst|material stress-strain analyst|materials analyst|materials stress technician|aircraft body stress analyst|stress technician|stress tester|materials stress analyst|aviation stress analyst|stress-strain analyst|aeroplane stress analyst|structure engineer|airframe stress analyst
wholesale merchant in metals and metal ores,wholesale merchandiser in metals and metal ores|b2b sales consultant in metals and metal ores|business to business seller in metals and metal ores|graduate wholesale merchant in metals and metal ores|wholesale buyer in metals and metal ores|business to business sales consultant in metals and metal ores|trainee wholesale merchant in metals and metal ores|wholesaler in metals and metal ores|senior wholesale merchant in metals and metal ores|wholesale trader in metals and metal ores|assistant wholesale merchant in metals and metal ores
investment fund manager,fund director|investment fund adviser|fixed income portfolio manager|fund directors|fund manager|fund managers|portfolio managers|investments fund manager|investment managers|investments manager|portfolio administrators|investment fund coordinator|portfolio administrator|investment fund portfolio manager|investment fund advisor
property developer,land developer|commercial developer|real estate developer|property developers|house developer|office property developer|housing developer|commercial property developer|developer of real estate|speculative developer|office developer|speculative builder|domestic property developer|speculative property developer
rental service representative in agricultural machinery and equipment,rental advisor in agricultural machinery and equipment|rental service desk agent in agricultural machinery and equipment|rental sales team leader in agricultural machinery and equipment|rental sales desk agent in agricultural machinery and equipment|rental sales assistant in agricultural machinery and equipment|rental sales supervisor in agricultural machinery and equipment|rental service worker in agricultural machinery and equipment|rental service team leader in agricultural machinery and equipment|rental specialist in agricultural machinery and equipment|rental service manager in agricultural machinery and equipment|rental service desk clerk in agricultural machinery and equipment|rental sales manager in agricultural machinery and equipment|rental sales desk clerk in agricultural machinery and equipment|rental service supervisor in agricultural machinery and equipment|rental sales worker in agricultural machinery and equipment|rental service assistant in agricultural machinery and equipment|rental service desk supervisor in agricultural machinery and equipment|rental sales desk supervisor in agricultural machinery and equipment
road transport maintenance scheduler,vehicle maintenance coordinator|route vehicle maintenance planning officer|vehicle maintenance planning officer|road transport maintenance coordinator|scheduler of road transport maintenance|route vehicle maintenance coordinator|route vehicle maintenance scheduler|vehicle maintenance scheduler|road transport maintenance officer
wine fermenter,fermenter|fermentation process operator|wine products fermenter
cultural visitor services manager,mediation and education manager|education and visitor services manager|museum interpretation developer|visitor service and education manager|visitor engagement manager|visitor services and education manager|museum education specialist|education and visitor service manager|art mediation developer|visitor service supervisor|art curator|cultural visitor services supervisor|visitor service manager
veneer grader,plywood tester|plywood grader|veneer quailty grader|veneer rater|veneer tester|plywood-stock grader|plywood quailty grader|veneer quality rater|veneer quality tester|plywood stock grader|plywood quality tester|plywood rater|plywood quality rater
woodcarver,traditional woodcarver|craft woodcarver|artisan woodworker|artisanal woodcarver|artisan|heritage woodworker|heritage wood worker|master woodcarver|craft wood carver|traditional handcarver|heritage wood carver|artisan wood worker|traditional wood carver|artisan woodcarver|handcarver|heritage woodcarver
sexual violence counsellor,victim support worker|sexual violence counselor|sexual violence advisor|sexual assault social counselor|domestic violence counsellor|victim care worker|sexual violence victim advocate|sexual violence support worker|sexual assault counsellor|victim care unit counsellor|victim care unit worker
fish cook,fish restaurant chef|fish fryer|sea food restaurant cook|seafood restaurant cook|fish restaurant cook|saucier|fish chef|fish station cook|seafood cook|poissonnier|fish station chef|fish frier|fish section chef|fish section cook|sea food cook
viticulture adviser,viniculture adviser|wine production adviser|viticulturist|viniculturist|adviser on viticulture|viticulture specialist
"import export specialist in mining, construction, civil engineering machinery","trainee import export specialist in mining, construction, civil engineering machinery|assistant export specialist in mining, construction, civil engineering machinery|trainee import specialist in mining, construction, civil engineering machinery|international trade compliance specialist in mining, construction, civil engineering machinery|assistant import specialist in mining, construction, civil engineering machinery|graduate import export specialist in mining, construction, civil engineering machinery|senior export specialist in mining, construction, civil engineering machinery|trainee export specialist in mining, construction, civil engineering machinery|assistant import export specialist in mining, construction, civil engineering machinery|graduate import specialist in mining, construction, civil engineering machinery|customs compliance specialist in mining, construction, civil engineering machinery|graduate export specialist in mining, construction, civil engineering machinery|senior import export specialist in mining, construction, civil engineering machinery|senior import specialist in mining, construction, civil engineering machinery"
construction general contractor,construction project manager|construction site contractor|construction contactor|general contractor in construction
onshore wind energy engineer,onshore wind energy systems engineer|onshore wind energy specialist|onshore wind energy engineering expert|onshore wind power engineer|onshore wind energy engineering specialist|onshore wind energy technology engineering specialist
maritime water transport general manager,maritime water transportation managing director|sea transport general manager|maritime transport managing director|general manager of maritime water transportation|general manager of maritime water transport|sea transportation managing director|maritime water transport managing director|sea transport managing director|marine transportation general manager|sea transportation general manager|marine transport general manager|maritime transport manager|maritime water transportation general manager|maritime transportation managing director
3d modeller,cgi modeller|3d developer|3d modellers|3d artist|computer-generated imagery modeller|3d modeler|3d texturing artist|3d specialist
case administrator,legal executive|domestic abuse case administrator|probation case administrator|prison case administrator|legal administation officer|legal case administrator
geographer,economic geographer|geographers|biogeographer|cultural geographer|physical geographer|natural geographer|human geographer|geography research scientist
billing clerk,accounting officer|accounts receivables clerk|posting clerk|financial administration clerk|financial clerk|accounts payable officer|account receivable clerk|invoice clerk
pulp technician,pulp and paper technician|pulp and paper production specialist|pulp production technologist|pulp and paper technologist|pulp production engineer|pulp production specialist|pulp production technician
electroplating machine operator,electro-plater|electro plater|non nickel plater|gold plating machine operator|silver plater|metal plater|hot-dip plater|hot dip plater|galvanising machine operator|copper plater|oxidised finish plater|electro plating technician|lock plater|gold plater|nickel plater|metal plating technician|electric plater|electroplater|chrome plater|electrodeposition operator|zinc plater|bronze plater
grants administrator,grants and contracts officer|grants administration funding officer|grants and contracts administrator|proposals administrator|grants & contracts officer|grants and trusts administrator|research grants administrator
automation engineer,engineer in automation|electric vehicles automation engineer|automated systems engineer|manufacturing engineer in automation|mining automation engineer|agricultural automation engineer|unmanned vessel engineer|vessel autonomy engineer|automation systems engineer|battery and microgrids automation engineer|fleet autonomy system engineer|specialist in automation systems|automated systems specialist|engineer in automation systems|specialist in automated systems|engineer in automated systems
industrial mobile devices software developer,industrial mobile devices software programmer|industrial mobile devices software coder|handheld programmer|handheld software developer
ict buyer,ict buyers|it buyer|ict purchaser|ict procurer|ict procurement officer|it procurement officer
grill cook,barbecue cook|grill section cook|grill section chef|rotisserie chef|barbecue chef|steakhouse cook|steakhouse chef|grill station cook|line cook|line chef|grill chef|grill station chef|rotisserie cook
import export manager in machine tools,senior import manager in machine tools|graduate import export manager in machine tools|assistant export manager in machine tools|trainee import manager in machine tools|graduate export manager in machine tools|trainee import export manager in machine tools|assistant import manager in machine tools|trainee export manager in machine tools|international trade manager in machine tools|international trade compliance manager in machine tools|senior export manager in machine tools|assistant import export manager in machine tools|senior import export manager in machine tools|customs compliance manager in machine tools|graduate import manager in machine tools
brigadier,brigadier general|military brigadier|army brigadier|field officer|director of staff
real estate surveyor,real estate surveyors|municipal assessor|real estate analyst
kennel supervisor,pet boarding manager|dog/cat boarding manager|dog/cat kennel manager|pet boarding supervisor|kennel operator|kennel manager|dog/cat boarding supervisor|pet boarding operator|animal care manager|animal care supervisor|dog/cat kennel supervisor
airport planning engineer,aviation development planner|airport planning manager|airport development engineer|airport development director
furniture designer,interior and furniture designer|furniture craftswoman|furniture builder|furniture planner and designer|hand-made furniture builder|interior & furniture designer|furniture artist|furniture designer and maker|furniture and interior designer|furniture technician|furniture design specialist|furniture design advisor|furniture planner|furniture & interior designer|hand-made furniture maker|furniture design consultant|furniture designer & planner|furniture designer & maker|furniture technologist|furniture craftsman|furniture design expert|furniture maker|ff&e designer|furniture planner & designer|hand-made furniture designer|furniture designer and planner|interior ff&e designer|furniture designers
kitchen unit installer,kitchen refurbishment team worker|replacement kitchen installer|kitchen joiner and fitter|kitchen fitter|kitchen installation specialist|kitchen installation worker|kitchen carpenter and joiner|kitchen refurbishment team member|kitchen furniture fitter|kitchen fitting specialist|kitchen installer
mechanical forging press worker,drop forge operator|die forger|forge press operative|automatic casting forging machine technician|automatic casting forging machine operator|automatic casting machine technician|automatic forging machine operator|forgesmith|mechanical forging press forge operator|automatic casting- forging machine operative|automatic casting machine operator|automatic forging machine operative|forge press operator|spring forger|mechanical forging press forge hand|automatic casting- forging machine operator|spring forge operator
cosmologist,evolutionary cosmologist|cosmology scientist|observational cosmologist|theoretical cosmologist|cosmology data scientist|cosmology research scientist
laser cutting machine operator,laser set up operative|laser set up operator|cnc laser cutting machine tender|computer numerical controlled laser cutting machine setter|computer numerical controlled laser cutting machine operator|cnc metal cutting machine worker|laser drill operative|metal cutting machine worker|cnc metal cutting machine tender|computer numerical controlled laser cutting machine worker|cnc laser cutter|laser drill set-up inspector|laser cutting technician|metal cutting machine tender|cnc metal cutting machine setter|cnc laser cutting machine operative|laser mill operator|laser cutter production operator|cnc laser cutting machine operator|laser cutter technician|cnc laser cutting machine setter|laser mill inspector|laser cutting machine set-up operative|metal cutting machine operative|laser cutting machine tender|laser mill technician|laser cutter production operative|cnc laser cutting machine worker|computer numerical controlled laser cutting machine operative|laser cutter|laser drill set-up technician|cnc laser cutting machine set-up technician|computer numerical controlled laser cutter operator|computer numerical controlled metal cutting machine setter|laser drilling operative|laser cutting machine worker|laser drill technician|laser mill operative|computer numerical controlled metal cutting machine worker|cnc metal cutting machine operative|cnc laser set-up inspector|laser cutter production worker|laser drill operator|computer numerical controlled laser cutting machine tender|laser cutter inspector|computer numerical controlled metal cutting machine tender|laser cutting machine setter|cnc laser cutter|laser drill inspector|laser cutting machine set-up operator|laser cutting machine operative|metal cutting machine setter
surgical instrument maker,surgical device repairer|medical instrument assembler|surgical device designer|medical instrument design technician|surgical instrument technician|medical instrument technician|orthopaedic appliance maker|surgical device assembler|surgical instrument designer|medical instrument repairer|surgical instrument design technician|surgical instrument repairer|surgical device technician|medical instrument designer|surgical instrument assembler|surgical device design technician
driving instructor,learner driver instructor|driving educator|driving trainer|teacher of driving|instructor in driving|teacher of learner drivers
mineral crushing operator,mineral crushing machine operative|stone crushing machine operative|stone crushing process operative|stone crushing plant operative|stone crushing machine operator|mineral crushing plant operator|mineral crushing process operator|stone crushing plant operator|mineral crushing process operative|stone crushing process operator|mineral crushing machine operator|mineral crushing plant operative|stone crushing operator
editorial assistant,travel and property editorial assistant|editorial production assistant|digital editorial assistant|magazine editorial assistant|children's editorial assistant|beauty editorial assistant|editorial arts assistant|commercial editorial assistant|fashion editorial assistant|editorial intern|online editorial assistant|editorial aide
rescue diver,lifeguard|dive emergency worker|underwater rescue worker|emergency rescue diver|para-rescue diver|diver life support technician|dive rescue technician|search and rescue diver
industrial engineering technician,industrial tool design quality control inspector|industrial tool design technologist|industrial tool development inspector|industrial tool technologist|industrial tool design inspector|industrial tool development technologist|industrial tool inspector|industrial tool design quality control technologist
